,title,description
78,Frybread,"flat, deep-fried, simple, be, various, such, tacos, ==, make, 300-mile, Long, relocate, support, traditional, beans.For, many, frybread, present, painful, Native, American, different, public, private, tribal, fry, typical, small, mixed, dough, hot, Many, basic, crunchy, soggy, rich, sourdough, several, use, available, early, large, leaven, prepare, fresh, ==, Other, ===, fried, saltfish, similar, frybread, panbread, regional, sweet, former, curried"
79,Garden salad,"dish, small, different, contain, ready-to-eat, notable, such, south, German, warm, leafy, common, garden, Other, bean, vegetable, noodle-based, flavor, salad, fermented, be, smaller-portion, first, main, high-protein, cheese, ==, French, same, 14th, oil-and-vinegar, youthful, green, buffet-style, American, ==, ancient, mixed, popular, imperial, little, encourage, fellow, eat, fresh, celery, creamy, hard-boiled, 17th, send, have, salad-making, use, put, Salad, At-home, fresh-chopped, bag, reach, Green, large, Common, raw, culinary, garden, Hard-boiled, likely, other, thick, true, hold, ice-cream, sandwich, ===, entrée, dinner, ===, fruit, Note, culinary, many, botanical, sweet, dessert, glorified, Western, basic, sour, crème, buttermilk.In, mayonnaise-based, Caesar-style, close, Traditional, mustard-based, predominant, eastern, European, southern, olive, add, sesame, salad, recorded, Greek, wholesome, appeal, fastidious"
80,German chocolate cake,"German, layered, coconut-pecan, English-American, dark, be, actual, few, evaporated, hold, ==, American, popular, other, have, much, become, national, possessive, subsequent, false, similar"
81,Goulash,"Hungarian, other, medieval, popular, national, 9th, stews, make, include, 16th, ==, herdsman, gulyáshús, goulash, say, possible, common, scarce, 19th, massive, sure, be, traditional, thick, cattle, optional, rely, modern, unknown, original, whole, Central, European, first, twentieth, fundamental, several, different, same, important, many, Typical, tough, well-exercised, gelatin, sliced, simmer, garlic, soup, green, bell, Other, chili, post-16th, small, white, round, fingernail-sized, csipet, mixed, large, dubious, ===, Reduce, add, sour, add, sauerkraut, thin, lemon, red, flavour.A, similar, paprika-based, diced, smoked, German-speaking, inexpensive, pörkölt, former, Austrian-Hungarian, boiled, stand-alone, Austro-Hungarian, special, rich, pörkölt-like, dark, fried, ===, Croatian, north, wild, replace, lovački, gulaš, Bosnian, Serbian, Green, bread, fresh, Seasonal, segedínský, mít, lack, autonomous, Austrian, regular, nearby, interesting, regional, rosemary, crusty, eastern, cooked, such, south-east, Asian, Spanish, slow-cooked, warm, Polish, variant, various, Compulsory, 50-50, chilli, black, tomato, partisan, Slovenian, Second, public, utilizes, equal, seasoned, American, elbow, canned, and/or, ==, maverick, political, limited, economic, soups, stews, portal, External"
82,Greek-American cuisine,"Greek-American, Greek, American, various, different, regional, new, nationwide, prominent, concentrated, such, ==, widespread, major, typical, include, many, following, loaf, flat, make, garlic, cucumber, eggplant, whipped, hot, olive, spanakopita, dolmadakia, rice, fresh, pine, lemony, bean, thick, baked, wide, seasonal, souvlaki, other, high, Various, dish, indigenous"
83,Green bean casserole,"Green, bean, casserole, green, french, fried, popular, ==, create, quick, easy, test, ultimate, sour, soup, original"
84,Grilled cheese,"grilled, such, flat, include, Additional, common, ==, cheese, be, buttered, cooked, dish, popular, electric, toast, ancient, many, modern, inexpensive, American, available, open-faced, describe, Many, whole, ===, additional, other, Several, different, personal, sandwich, last, ===, reclaimed"
85,Grits,"boiled, hominy, other, available, nationwide, popular, be, hasty, mush, polenta, coarse, ground, Native, American, similar, thick, maize-based, such, ==, 16th, Indian, hominy, maize, southeastern, grind, “, gritty, ”, new, local, grit, Similar, official, yellow, white, common, quick, Whole, speckled, ==, salt—1/4, cook, low, prevent, become, soft, quick, grated, red-eye, fried, wide, catfish, salmon, many, traditional, coastal, northern, peninsular, cooked, vegetable, beaten, brown, teenage"
86,Hamburger,"short, sandwich, cooked, sliced, be, pan, such, relish, special, own, patty, refer, turkey, fast-food, high-end, sell, several, many, international, regional, second-largest, German, castle, fortified, widespread, first, High, enclosed, similar, frankfurter, wiener, other, meat-based, suffix, different, meatless, ==, unclear, popular, serve, toasted, have, mark, explain, specific, Sandwich, distinguished, kept, ready, small, ===, Danish, rival, national, conclusive, little, tiny, possible, same, rowdy, subject, dispute, quick, hot, ====, fifteen, eat, Historical, local, familiar, fried, omit, first-known, yeast, true, Real, fair, Historian, obituary, ====, oral, Other, hamburger-steak, Various, non-specific, printed, original, item.Between, ===, Early, major, anti-German, alternative, unpopular, large, 2.5-inch, punch, cook, eliminate, flip, frozen, second, Many, Little, Tavern, Big, double, become, drive-in, interior, early, operate, American, modern, multi-mixer, fast, mass-produced, thin, uniform, traditional, conventional, square-cut, flat-top, use, rare, medium-well, top, square, mid-tier, restaurant-style, elaborate, expensive, various, well-known, high-quality, all-beef, distinguish, inexpensive, added, vegetable, lean, include, contain, harmful, produce, food-borne, due, occasional, initial, improper, potential, internal, well-done, chicken, buffalo, ostrich, black, burger, wheat, quorn, superior, Steak, higher-quality, strip, primary, registered, famous, typical, whole, ground, doneness.Steak, standard, additional, ‍—‌, steak, times.Some, menu, corporate, single, chopped, sub-style, sesame, limited, precise, main, prepared, pickle, French, cheese, salad, blue, teriyaki-seasoned, french, potato, depend, offer, multiple, common, triple, California-based, hundred, sautéed, diced, greasy, military, slide, kubie, pressed, Ukrainian, raw, molten, gush, let, few, low, ramen, compressed, certain, usual, Hawaiian, replace, global, big, identical, indigenous, British, opened, late, compete, open, high, re-branded, new, counter-service, available, mobile, “, outdoor, brown, deep-fat-fried, pubs, avocado, exotic, bison, redcurrant, 21st, independent, organic, take, rich, dirty, third-wave, burger.In, recent, pre-cooked, reheatable, vegetarian, Australasian, fish, optional, chicken, salmon, only, barbecue, Australian, ハンバーグ, short, hamburg, minced, mixed, Japanese, casual, western, Local, teriyaki, unusual, 1000-yen, artisan, seasonal, actual, fresh, refined, upscale, [, Asian, South, Korean, wide, steamed, cultural, religious, Indian, deep-fried, gramflour, green, known, shami, regular, sudden, foreign, Mongolian, great, numerous, localized, Wet-Burger, seasoned, Turkish, pizzeria-like, home, former, Unusual, Ridiculous, prepare, caramelized, intricate, wine-braised, look, world-record, Quadruple, unhealthy, free, cow, hundred-dollar, aviation, general, fly, fictitious, convince, Canadian, 0-19-541816-6, 978-0-399-15274-0, Great, 978-1-58816-280-9, External, dictionary"
87,Hangtown fry,"famous, common, ==, rich, expensive, provide, available, delicate, be, condemned, like, eat, last, have, hundred, rough, day.The, dish, various, deep, central, same, great, unique, many, own"
88,Hog fry,"traditional, social, large, open, throw, hot, cooked.Hog, tribal, cultural, individual, whole, similar, different"
89,Home fries,"American, regional, southeastern, basic, pan-, skillet-frying, unpeeled, have, par-cooked, popular, =="
90,Hot chicken,"hot, fried, local, typical, thigh, water-based, cayenne, atop, white, pickle, similar, such, be, other, unique, regional, many, citywide, due, ==, same, differ, deep, pan-fried, impart, retain, traditional, Nashville-style, key, mixed, thick, garlic, additional, latex, main, guarded, proprietary, specific, vary, ===, fish, catfish, specialize, African-American, current, have, early, impossible, verify, great-uncle, late, extra, much, own, staple, late-night, hot, open, estimated, now-defunct, former, devoted, numerous, second, several, successful, recent, limited, =="
91,Hot chicken sandwich,"skinless, chicken, hot, chicken, ==, be, deep, cold, white, dark, Shredded, such, Open-faced, common, alternative, beef, similar, fried, grilled, ====, unsubstantiated, southern-style, steamed, likely, first, fast, Other, notable, major, casual, ===, Regional, popular, sandwich, au, green, staple, many, believe, have, own, poutine, other, small, working-class, North, American, early, Due, minimal, mid-1900s.This, previous, make, ===, primary, rural, shredded, call, multiple, crushed, help, thicken, bind, economize, covered, dish, tailgate, ==, Make, External"
92,Hot Pockets,"American, microwaveable, ==, traditional, Lean, .Individual, dough, keep, calzone-like, first, break, retail, frozen, ===, cut, previous, bolster, drop, quesadillas, fallen, big, particular, popular, stand-up, comic, perpetual, kill, ==, have, massive, diseased, unsound, small, make, Hot, unfit, recalled, full, federal"
93,Ice cream cake,"ice, crumble, popular, three-layer, typical, normal, cut, shape, necessary, frozen, appropriate, frozen, other, many, adhere, whole, kept, prior, thaw, be, melt, Victorian, decorative, ==, themed, Australian, ==, common, birthday, available, fried, Asian, Chinese, Japanese, Polynesian, Common, abbreviated, make, Everyday"
94,Italian-American cuisine,"Italian-American, Italian, various, different, many, distinct, regional, culinary, Many, new, nationwide, Prominent, American, ==, Traditional, significant, late, 20th, large, such, immigrant, Southern, dry, olive, white, increased, authentic, native, ubiquitous, other, be, due, allied, happy, use, powdered, armed, influential, top, powerful, current, Mexican, Chinese, Cantonese, ingrained, foreign, familiar, half, high, popular, Mediterranean, common, much, ==, strong, British, cultivate, influenced, transatlantic, famous, fertile, 19th, Italian-Swiss, keep, sacramental, general, few, generic, table, high-end, Super, overall, mid-20th, high-end, distant, bolognese, tube-shaped, similar, penne, mixed, oven, lasagne, original, better-known, pasta, dish, –, varying, final, deli, present, southern, extinct, early, 21st, iconic, Often, stuffed, Vegetable, Eggplant, sliced, zucchini-, artichoke-based, exist, poor, favorite, lenten, eggs, open-faced, light, red, full, sandwich, broccoli, recent, veal, casual, parm, Second, French, ===, nutmeg, black, shellfish, primary, cooked, unheard, –, spicy, usual, meat-based, meat-infused, special, heated, gravy, ===, make, cod, have, integral, olio, spaghetti, garlic, thin, hot, chili, fish, standard, cannellini, stromboli, loaf-like, lean, crisp, soft, resemble, traditional, loaf, York-style, square, contrary, Sicilian, same, thin-crusted, Americanized, Greek, Chicago-style, several, cold, pizza, torta, Italian-Argentine, sweet, multi-layered, fried, typical, blue, pea-dish, leaved, foglie, hard, contain, dried, sweet, dessert, loaf-type, crispness, lemon, Abruzzese, available, oft-updated, Crown, English, best-selling, broad, post-World, popularize, Penguin-Putnam, Workman, fictional, diaspora, 0-934675-51-X, ethnic, urban/, suburban/, rural, Foreign, 1876-1914, Paese, global, help, understand, paese, formative, civilita, cultural, intellectual, literary"
95,Italian beef,"Italian, thin, seasoned, long, Italian-style, hot, green, sweet, many, Italian-American, northeastern, recent, top/bottom, wet-roasted, garlic, oregano, famous, result, much, deli, achieve, food-grade, reduced, sufficient, allow, be, traditional, own, efficient, other, reach, ==, exact, unknown, old, early, bring, desirable, make, palatable, slow-roasted, fresh, enough, feed, ethnic, original, small, similar, shop.Other, local, open, first, stand, grilled, Different, mild, Typical, gravy-wetted, Sweet, dry, pre-cooked, this.Some, triple, double, Other, common, large, late, try, documentary, American, different, eat, secret, ==, Chicago-style"
96,Italian dressing,"Italian, salad, Canadian, lemon, vegetable, numerous, be, intensify, dehydrated, North, American-style, olive, black, pre-mixed, stir-frys, include, caloric, creamy, same, make, ==, American, large, popular, keep, go, nearby, several, many, other, flavors.Italian, high, separate, produce"
97,Jell-O,"registered, no-bake, original, lemon, sugar, powdered, popular, ==, prepared, powder, available, various, artificial, hot, set, be, make, elaborate, Jell-O, nongelatin, eaten, instant, mixed, cold, pie, same, Early, connective, other, Victorian, spectacular, complex, well-to-do, first, American, steam-powered, easy, manufacture, use, successful, legal, similar, mainstream, key, new, such, sell, raise, Famous, minor, distribute, free, pioneering, illustrated, sweetened, frozen, form, congealed, lime-flavored, complement, Popular, green, become, vegetable, Italian, discontinued.In, comedian, familiar, several, J-E-L-L-O, five-note, musical, significant, have, quick, promote, easy-to-prepare, boiling, short, unsuccessful, black, lemon-lime, orange-banana, strawberry-banana, tropical, intense, wild, venerable, rare, mousse-style, limited, ===, slogan, light, heavy, Many, special, everyday, fast-paced, young, stop, past, massive, huge, thirty, help, introduce, Sugar-Free, gummi, carbonated, on-line, forget—you, remember, favorite, fundamental, annual, late, early, family-friendly, substantial, well-known, hold, small, chopped, typical, Fresh, excessive, measured, ==, alternative, alcoholic, third, resulting, vital, possible, dry, denature, reform, semisolid, break, important, adjust, ensure, different, eat, shot, attractive, underestimate, much, monitor, this.American, singer-songwriter, circumvent, only, main, learn, follow, former, ready, top-rated, announcer, appropriate, feigned, comic, 124-episode, jell-o, Comedian, many, few, Vivian, alive, J-E-L-L-OOOOOOO, animated, JELL-O, Fine, romantic, humorous, combined, savory, second, blue, ===, Latter-day, Mormon, 20th-century, cultural, official, recognize, per-capita, Take, longtime, love, perfect, inside, social, single, appear, long, Current, free/low, Available, salad, Official, website, Make"
98,Jerky,"lean, prevent, sufficient, produce, basic, low-temperature, inhibit, bacterial, seasoned, low, press, flat, above, be, savory, sweet, semi-sweet, major, ready-to-eat, additional, moisture, content, correct, many, traditional, sliced, whole-muscle, contain, fat, meet, protein, oxidative, microbial, high, added, ==, domestic, wild, make, Wild, other, such, ostrich, salmon, prior, dry, modern, help, limit, critical, dry, do, avoid, brittle, large, insulated, heater, remove, moisture-laden, fast-moving, desired, few, raw, jerky, nylon-coated, light, vegetable, allow, historical, drying, prepare, common, improve, increase, proper, resealable, sealed, small, unfinished, necessary, g, less-dried, generate, fresh, whole, available, numerous, franchise, unpackaged, short, popular, ==, dried, strict, ensure, safe, wholesome, have, responsible, comply, internal, uncured, cured, Many, European, extensive, further, long, similar, expensive, mixed, thin, finished, general, meat, ubiquitous, rural, donkey, red, white, authentic, vegetarian, salt, black, biltong, South, African, much, jerky, military, attractive, several, due, typical, recommended, second"
99,Juba,"==, 19th, Christian, ill, due, dominant, northern, present, small, 1920-21, late, Anglo-Egyptian, relocate, make, new, serve, Major, British, early, central, native, excellent, visible, downtown, Greek, public, such, beautiful, old, later, famous, join, southern, unify, end, strategic, much, interim, Autonomous, many, non-governmental, national, Sudanese, see, likely, move, occur, lead, deputy, ministerial, keep, clean, sanitary, gubernatorial, same, county, civil, Democratic, be, disrepair, full, take, Swiss, clear, de-mined, un-paved, tremendous, limited, lengthy, important, return, regain, normal, first, original, paved, main, concrete, 1950s.Between, joint, develop, Recent, link, finance, donate, large, Southern, general, busy, high, uncertain, daily, aerial, several, 5th, Chinese, economic, past, regional, international, indigenous, commercial, recent, 15th, grow, affordable, transient, quick, do, invest, tropical, dry, hot, little, maximum, annual, total, Notable, child, common, other, eastern, crash, divert, last, Front-line, Develop, 'Gulu-Juba, underway', Start"
100,Key lime pie,"American, lime, traditional, make, small, tractable, yellow, perishable, tart, aromatic, common, regular, pale, yellow, acidic, thicken, own, Early, require, produce, proper, raw, be, dangerous, short, ==, early, 20th, exact, unknown, first, formal, have, such, possible, probable, local, many, contiguous, nutritional, canned, spoil, modern, original, call, ==, annual, passed, official"
101,Liver and onions,"dish, liver, metallic, be, off-putting, mixed, fine, ==, boiled, usual, fried, French, traditional, recipe, olive, Italian, red, white, widespread, American, home-style, common, strong, German, exclusively, popular, Spanish, Portuguese, other, vegetable, puréed, ==, lamb, bacon, aux"
102,Lobster Newberg,"American, popular.An, be, satisfy, anagram, popular, French, recipe, twenty-five, clarified, ==, Similar, similar, Lebhar-Friedman, Townsend"
103,Lobster roll,"sandwich, Canadian, lobster, grilled, hot, dog-style, contain, lemon, black, Other, diced, french, typical, ==, warm, such, available, other, common, England-style, top, flat, cold, spread, chunked, plain, standard, staple, appear, pita, traditional, potato, limited, ==, inaugural, select, final, regional"
104,London broil,"thin, North, American, British, broiled, flank, modern, label, top, other, refer, specific, ==, several, high, oven, traditional, central, wrap, seasoned, popular, tenderized, be, steak"
105,Macaroni and cheese,"n, Canadian, cooked, cheese, incorporate, other, such, vegetables.Traditional, be, first, create, ==, 14th, Italian, pasta, famous, fresh, hand-cut, make, thynne, kerve, take, chese, grate, butter, serue, above, modern, English, Make, thin, cut, Put, seethe, add, dish, similar, lasagne, mixed, golden, small, toasted, British, Victorian, firm, melt, cook, long, final, melted, good, bright, brown, widespread, fast, ===, American, slave, detailed, purchase, suitable, popular, hot, influential, 19th, culinary, historian, Useful, west, main, affordable, accessible, upper, Modern, Practical, upper-class, modern-day, national, Regional, macaroni, short-cut, extruded, many, decorative, do, hold, different, sharp, Popular, include, crunchy, bread, deep-fried, traditional, available, boxed, Emmental, Extra, include, frozen, simplified, recognizable, prepared, stores.A, slogan, immediate, economic, Second, most-purchased, mixes, uncooked, liquid, deluxe, prepare, powdered, olive, several, basic, minor, ==, brief, 0-375-70202-4"
106,Mac n' Cheetos,"deep-fried, cheese-flavored, puffed, cheese, international, private, late, eight-week, Many, fast, well-known, current, ==, first, hybrid, begin, next, test-marketed, nationwide, favorite, s, unique, other, hot, fast-food, American, sell, recent, migrate, good, re, few, ’, do, produce, triangular, fried, similar, Sheetz, triple, cheese.In, grocery, fan, limited, new, be, red, resemble, portable, bright, pretty, unusual, neon-orange, poop-shaped, orange-ish, coagulated, macaroni-and-cheese, mozzarella, bizarre, intense, ignore, Trump-colored, look, appetizing, bright-red, chode-like, bloated, orange, same, real, plastic, stately, blind, product.Fox, positive, web, mixed, weird, gross, cheese-like, gimmicky, awful, pleased, report, ’, taste, gritty, high, love, have, quick-zapped, critical, disappointing, novelty, Popular, get, drop, half-consumed, eat, know, total, available, ==, cheesy, amplified, n, commercial"
107,Macaroni salad,"cold, cooked, prepared, Much, barbecue, other, picnic, dish, national, regional, raw, diced, sweet, ===, use, native, sweetened, various, western, macaroni, such, common, chicken, deli, popular, contain, =="
108,Maple bacon donut,"maple, dessert, popular, distinct, other, prominent, ==, Popular, love, hate, talk, bacon, daily, favorite, maple-glazed, downtown, slogan, reclusive, maple-bacon, good, be, able, get, come, clear, carry, napkin, try, =="
109,Maraca pie,"Floridian, sticky, various, different, first, sell"
110,Mashed potato,"British, American, dish, meat, and/or, related, dish, unskinned, frozen, available, many, be, intermediary, other, such, have, added, ==, waxy, different, commonly, golden, red, vegetable, improve, desired, Popular, garlic, cheese, bacon, sour, crisp, French, wavy, potato, normal, low-calorie, non-dairy, soup, Indian, sub-continent, chopped, chili, Culinary, various, cold, mixed, fresh, produce, popular, fried, bubble, mashed, gravy, common, beef, vegan, utensil, prepare, electric, sufficient, durable, wooden, brute, dictionary"
111,Mashed pumpkin,"vegetable, desired, many, ==, native, much, eastern, Native, likely, First, iconic, English, pumpkin, various, mid-18th, modern, mixed, make, mashed, liquid, dilute, chefs, well-seasoned, cooked, such, dark, common, roast, be, Nutritional, single, unseasoned, beta-cryptoxanthin, dietary"
112,Meatcake,"other, dessert, mashed, classic, comedian, unidentifiable, be, cake, meatcake, =="
113,Meatloaf,"other, final, hand-formed, flat, cooked, be, make, individual, become, dry, various, keep, dish, moisture-enhancing, ==, minced, 5th, traditional, German, Scandinavian, Belgian, American, contemporary, appear, late, 19th, ===, vegetable, Austrian, Often, sauce, warm, cold, Bulgarian, Руло, similar, hard-boiled, southern, common, nowadays, side-dish, mashed, hard, public, second, third, ===, optional, put, farsbrød, 'ground-meat, boiled, brown, red, basic, only, salt, customary, stuff, usual, several, Hungarian, long, decorative, white, yellow, Jewish, hot, whole, mixed, raw, Persian, South-Asian, small, khoochmal, Spanish, well-seasoned, banana, fried, confused, due, diced, sliced, garlic, obligatory, Puerto, Rican, meatloaf, major, lamb, popular, Western, sweet, whipped, Turkish, dalyan, regional, stretch, inexpensive, add, new, lower-fat, superior, American-style, Many, form, tomato-based, simple, prepared, same, top, main, typical, many, seventh-favorite"
114,Milk toast,"warm, other, be, toast, milk-based, white, popular, late, 20th, young, easy, digest, mild, soothing, full, innocent, famed, small, modern, Invalid, instinctive, boiled, true, ritual, necessary, foolishly, important, favorite, condensed, wide-lipped, Italian, ==, many, Asian, toasted, top, dessert, similar, milk, fresh, day-old, ===, traditional, Scandinavian, Norwegian, broken, wafer-thin, crisp, dry, cold, everyday, simple, warmed, excess, soft, ineffectual, comic, apologetic, undesirable, main, French, bread, toast, ==, old"
115,Milkshake,"sweet, cold, iced, such, precise, rigid, subject, thick, be, differentiate, flavored, milk-based, refer, Many, Full-service, drink, make, automatic, serve, pre-made, fast, traditional, soft-serve, ice, fresh, come, ==, additional, available, machine-made, unusual, ice, high, blended, frozen, malted, cream-based, frappe, fra-PAY, crumbled, alcoholic, ===, ===, Pre-made, sweetened, artificial, other, healthful, wholesome, early, new, popular, typical, electric, widespread, milkshake-type, hand-shaken, crushed, take, modern, frothy, evaporated, restorative, disabled, healthy, malt, standard, freon-cooled, safe, reliable, basic, automated, develop, five-spindled, produce, dispense, late, several, add, favorite, frosted, good, par, hot, tasty, shining, machine.These, similar, smooth, fluffy, 12½-ounce, fountain, own, Make, Shake, exclusive, 1930s-era, use, speed, conventional, [, different, drip, large, 24-hour, diner-style, first, milkshake, American, casual, low-fat, commercial, lactose, intolerant, people.The, evocative, profitable, much, average-priced, 1950s-style, highest-volume, revenue-producing, milkshake, due, innovative, chef-designed, high-end, macerated, Other, novel, LA-area, toasted, saffron-rose, orange-blossom, taro, mixed, Russian, keep, interested, coffee-flavored, savory, ground-breaking, shakes, pull, peanut, chocolate-coated, red, ], premium-priced, entire, Similar, concentrated, complex, ==, branded, text, main, long-running, various, alternative, life-sized, anthropomorphic, ultraviolent, futuristic, young, hallucinogenic, unhappy, see, have, awkward, nerdy, virginal, 42-year-old, lead, teenage, middle-aged, retro-50s, Five, Dollar, 1950s-inspired, local, calorie-laden, promote, heroic, third, top, famous, moderate, slang, social, embrace, worthy, useful, favourite, problematic, hashtag, ], unholy, outdo, last, outplay, fame, tall"
116,Mission burrito,"Mission-style, first, popular, other, large, extra, key, steam, flour, increase, be, major, simple, cheese, potatoes.Many, encourage, fierce, ferocious, York-based, much, same, commercial, ==, Long-time, sell, such, remember, similar, true, 6-inch, single, have—and, tortillas, have, historical, original, teen, cold, pick, good, attract, fast, get, huevos, strong, hot, full, keep, till, shredded, green, proper, spicy, need, survive, Other, 19th, printed, American, Mexican-American, regional, agree, recognizable, distinct, local, culinary, compact, cheap, special, economic, dot-com, rapid, expensive, bohemian, Chicano, authentic, Mexican, national, early, Cal-Mex, small, serve, present, structural, ensure, rupture, eat, continue, support, uneaten, subsequent, GO, 2008-02-18, 2004-10-22, 2005-07-29, 0-87905-835-8"
117,Mozzarella sticks,"elongated, be, other, regional, fried, cheese, deep"
118,Muffuletta,"Sicilian, popular, sandwich, Italian, same, ==, various, eaten, large, loaf, sturdy, similar, focaccia, different, light, crispy, soft, additional, akin, olive, traditional-style, marinated, Swiss, full-sized, sold.The, combine, hours.A, cold, many, toast, special, ==, muffuletta, catfish, softshell, traditional, such, melted, modern, original, foreign-influenced, phonetic, specific, be, Southern"
119,Mulligan stew (food),"have, American, early, mulligan, several, homeless, collect, hobo, help, ==, procure, obtain, furnish, be, much, whole, successful, boil, put, give, delicate, add, butt, large, stand-in, Irish, local, comprise, such, available, sleep, create, shared, tasteful, original, afterward, enjoy, story-telling, popular, serve, brainwash, ===, old, hundred, varied, likely, fabricated, contain, railroad/hobo-related, high, shady, recent, do, airdate, hippie, make, Be, few, eatin, good, visit, eat, it.., social, prepared, nail, Extra"
120,Onion ring,"side, cross-sectional, deep, be, own, other, cooked, propanethial, sweet-smelling, responsible, sweet, ==, exact, unknown, deep-fried, French, have, claim, early, once-thriving, page, further, melted, whole, d'oeuvre"
121,Oreo,"sweet, available, different, such, Many, limited, popular, 21st, ==, unknown, many, French, Greek, beautiful, nice, short, easy, pronounce, laurel, Iconic, American, original, several, botanical, current-day, same, clear, first, new, modern-day, second, lemon, crème-filled, white, only, next, modern, principal, dark, early, replace, vegetable, certain, dietary, use, animal, other, dairy-containing, ===, Twenty-first, non-hydrogenated, online, Double, Hooded, take, special, blue, promote, win, prize, be, celebrate, fictional, negative, proud, fun, red, honor, jagged, grow, Overall, worldwide.Oreo, launch, familiar, British, £4.5M, introduce, annual, permanent, whey, suitable, lactose, calf, unsuitable, start, manufacture, Indian, worth, two-stage, produce, base, rotary, 300-foot-long, Asian, Japanese, Yamazaki-Nabisco, European, coconut, close, move, help, identify, unchanged, numerous, alternative, classic, eleven, main, wheat, thiamine, vitamin, folic, and/or, lecithin, protein.Different, total, recommended, daily, small, contain, traditional, notable, normal, Available, various, cool, birthday, double, golden, American/Canadian, football-shaped, Big, short-lived, Uh-Oh, miniature, bite-sized, late, redesigned, promotional, full-sized, revised, bagged, Golden, similar, thin, standard, current, green, seasonal, appropriate, broom-riding, orange-colored, Limited, exotic, retailers.Limited, replicate, specific, unusual, incorporate, recent, recognizable, Swedish, Birthday, 100th, crème, display, reminiscent, pumpkin, emulate, key, colorful, resemble, red-colored, marshmallow, Peeps-embossed, purple, maple, Exclusive, Nutella-like, salted, oval, purple-colored, Easter-related, bunny, central, three-girl, long-running, Spinal, eccentric, common, pen-pal, urban, black, act, racial, un-level, outside, ==, website"
122,Oysters Rockefeller,"rich, other, green, Lemon, typical, original, include, popular, Many, contemporary, diced, whole, non-traditional, dish, brunch, ==, due, available, unchanged, then-wealthiest, extreme, secret, Similar, accurate, many, primary, strained, indistinguishable, olive, Victorian, possible, native, anise-flavored, appear, First, =="
123,Pancakes,"hotcake, griddlecake, flat, thin, starch-based, contain, hot, such, Archaeological, widespread, prehistoric, unleavened, resemble, thick, French, special, achieve, lacelike, fine, well-known, cheese, many, other, be, major, potato, prepared, available, tart, common, similar, perishable, fasting, ==, attested, 5th-century, wheat, olive, fried, different, Regional, yeast-risen, spongy, teff, national, flatbread, Ethiopian, injera, right, tear, small, use, pick, eat, utensil, pancake-like, bread, sweeten, English, plural, eaten, cold, cinnamon-flavoured, lemon, dissolve, soften, plate, American-style, silver, South, African, self-raising, smooth, produce, golden, ====, staple, ===, menu, Western-oriented, Asian, savoury, sweet, vegetable, alongside, sour, main, added, north, Indian, flour-based, gram, green, moong, cottage-style, south, split-skinned, urad, black, semi-sweet, grated, Western, multi-grain, popular, traditional, crêpe-like, Indonesian, brown-colored, Other, include, cheddar, dadar, kue, roti, eggplant, Western-style, make, deep, American, Canadian, ====, eggs, whole, glutinous, deep-fried, baked.Traditional, tortang, talong, smoked, battered, North, Vietnamese, central, former, Austrian, powdered, favourite, long, large, Russian, Ukrainian, pagan, pre-Christian, early, due, блинчики, nalesniki, pre-fried, re-fried, sautéed, various, distinctive, spherical, several, hemispherical, oiled, cook, fork, give, characteristic, sweet, resemble, see, whipped, Finnish, lettu, pancake, latter, oven, extra, oven-made, semolina, chocolate, galette, salty, non-sweet, chickpea, German, cake, French-style, leavening, uncommon, light, pancake, key, plain, runny, form, pale, dark, rise, English, Italian, custom, savoury, Scottish, /, =====, tall, oatmeal, true, ancient, flour, feast, Genoese, bechamel, soda, jam, sugared, poppy, cinnamon, Hungarian, flambéed, crepe-like, whereas, Swedish, get, possible, ice, sandwich, Pancake, stuffed, egg-based, sliced, molasses-like, beet-based, classic, Dutch, much, crêpe-style, pronounced, Sweet, fresh, soft, white, Polish, typical, Nordic, Traditional, exotic, usual, tiny, allow, resembles, pork, raw, lingonberry, saffron, add, Scanian, ordinary, difficult, Norwegian, Rican, cachapas, same, fluffy, 19th, local, single, condensed, real, artificial, have, moist, ⅓, first, European, Aboriginal, nut, own, pan-fried, oven-baked.Johnnycake, johnny, cornmeal, modern, cultural, northern, yellow, mixed, buy, carry, last, replenish, particular, pre-1979, ten, Dutch, bowl-shaped, caramelized, ===, Portuguese, [, cassava, Tapioca, become, coarse, ungreased, starchy, grainy, Popular, tapioca, molten, celiac, substitute, Common, texturized, carne, Brazilian, famous, leite, prominent, unknown, resulting, watery, filling, unfermented, creative, arise, fake, Colombian, franchised, Original, British, allergic, tropical, certain, contaminate, toss, busy, church, prevent, compete, determine, international, upper, raise"
124,Pasta salad,"salad-like, mayonnaise-based, side, main, summertime, be, vegetable, pasta, side-dish, ==, vary, seasonal, and/or, simple, cold, mixed, elaborate, several, fresh, such, include, popular, North, American, rinse, prevent, add, olive, cool, stick, Commercial, Australian, commercial, available, cooked, similar"
125,Pastrami,"Turkish, Romanian, Bulgarian, meat, raw, traditional, common, see, corned, preserve, origin, conserve, keep, long, short, pressed, Wind-dried, be, modern, Jewish, second, 19th, modified, American, goose, inexpensive, make, cheaper-alternative, first, popular, sell, pastrami, ==, navel, such, garlic, black, connective, break, Greek, early, special, local, smoked, Montreal-style, portal, aus"
